Designator,Footprint,Quantity,Value,LCSC Part #
C1,MKP1848520704K2,1,2uF,
"C11, C13",CP_Radial_D12.5mm_P5.00mm_symbol_inside,2,2200uF,
"C12, C18, C27, C42, C54, C8",0805,6,22uF,
"C14, C28",0603,2,100nF,
"C15, C40, C41",0805,3,2.2uF,
"C16, C49, C50, C51, C52, C53, C56, C57",0603,8,1nF,
"C17, C19, C25, C31, C45",0603,5,1uF,
"C20, C21, C22, C23, C24",1210,5,10uF,
"C26, C44, C47",0603,3,22nF,
C29,0603,1,47pF,
"C30, C32, C48",0603,3,10nF,
"C33, C46, C5",0805,3,10uF,
"C34, C35, C36, C37",1210,4,5.6nF,
C39,1206,1,470pF,
C4,C_Disc_D12.5mm_W5.0mm_P10.00mm,1,3.3nF,
C43,0603,1,470nF,
"C6, C9",1206,2,1 nF,
C_START1,CP_Radial_D8.0mm_P3.50mm,1,3.8V 25F Supercap,
D1,0603,1,HV_Orange,
"D10, D17, D18, D2",D_SOD-123,4,1N4448,
"D11, D12, D14",D_SMF,3,VS-E7FX0212-M3/I,
"D13, D9",D_SMA,2,SS1H10,
"D15, D16, D8",D_SOD-323,3,CDSOD323-T12,
"D3, D4, D5, D6, D7",0603,5,Green,
F1,"Fuseholder0,25Zoll_32mm_littlefuse_102_122",1,1.6A,
F2,NANO-0154-OMNI-BLOK-Fuse-Holder,1,500mA,
F3,Bel_SMCF_Fuse_2410_6125Metric,1,20A,
J1,TerminalBlock_TE-282817-2_1x03_P5.00mm_90 Degrees updated v9-3,1,Screw_Terminal_01x03,
"J2, J4, J8",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Male,
J3,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical_combined2.54pinheader,1,Conn_01x02,
J5,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,XT60 Male,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,Fan Voltage Select,
L1,ASPI-4030S,1,4.7uH,
L2,7443091100_v9.2,1,1uH,
L3,ASPI-4030S,1,10uH,
"Q1, Q2, Q5, Q6, Q7",SOT-23,5,PMV20ENR,
"Q10, Q11",TO-263-7_TabPin8,2,IMBG65R050M2HXTMA1,
Q3,TO-220-3_Vertical_HV1.2mm,1,SIHP24N80AE-GE3,
Q4,TO-220-3_Vertical_HV1.2mm,1,IXYP8N90C3,
"Q8, Q9",BSC027N06LS5ATMA1,2,BSC027N06LS5ATMA1,
"R1, R71",2512,2,100M,
"R10, R22, R29, R38, R48, R49, R8",0603,7,2.2k,
"R11, R15, R16, R21, R23, R30, R33, R40, R43, R5, R51, R52, R55, R57, R63, R7, R9",0603,17,10k,
R12,0603,1,910,
"R13, R19",1206,2,100,
"R17, R24",0603,2,27k,
"R18, R27, R50",0603,3,470k,
"R2, R72",0805,2,330k,
R25,0603,1,240k,
"R26, R45, R47, R53, R67, R70",0603,6,100k,
"R28, R34, R66",0603,3,33k,
"R31, R36",0603,2,4.7k,
"R32, R42, R56, R58",1206,4,4.7,
R35,0603,1,330k,
R37,0603,1,47k,
"R39, R41, R59, R61",0603,4,1k,
R44,0603,1,510,
R46,1206,1,20,
R54,1206,1,10M,
R6,1206,1,47,
R60,0603,1,82k,
"R62, R69",0603,2,100M,
R64,0603,1,820k,
R65,0603,1,510k,
R68,0603,1,1.6M,
"R73, R74",0603,2,10,
RV1,Potentiometer_Bourns_PVG3G,1,20k,
RV2,Potentiometer_Bourns_3214W_Vertical,1,10k,
T1,Transformer_ETD39_uprightV3.6 (PSS 24V),1,DIY Transformer ETD 39,
TH2,0603,1,1k PTC,
U1,Converter_DCDC_TRACO_TBA 1-1212HI-3kV-iso,1,TBA 1-1212HI,
"U10, U14, U6",SOT-23-8_DC-DC_v9,3,LM2904BIDDFR,
U11,SOIC-16W_7.5x10.3mm_P1.27mm,1,UCC21520DW,
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,UCC25600,
U13,SOT-23,1,ZXRE330ASA-7,
U2,SOT-23,1,RT9058-90GVL,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm XL7005,1,MP4541_SOP8-EP,
U4,SOT-23-6,1,TLV61048DBVR,
"U5, U8",WDFN-8_2x2mm_P0.5mm,2,NCP4305DMTTWG,
U7,SOT-23,1,TL431,
U9,SOIC-4_4.55x2.6mm_P1.27mm,1,ACPL-217-50AE,
