Comment,Designator,Footprint,JLCPCB Part #
22uF,"C18,C27,C42,C54,C12,C8",0805,C45783
10uF,"C33,C46,C5",0805,C15850
1nF,"C6,C9",1206,C9196
1N4448,"D10,D17,D18,D2",D_SOD-123,C5190208
PMV20ENR,"Q7,Q1,Q2,Q5,Q6",SOT-23,C456088
100M,"R71,R1",2512,C5375481
2.2k,"R22,R29,R38,R48,R49,R10,R8",0603,C4190
10k,"R23,R30,R33,R40,R43,R51,R52,R55,R57,R63,R11,R15,R16,R21,R5,R7,R9",0603,C25804
910,R12,0603,C23264
100,"R13,R19",1206,C17901
27k,"R24,R17",0603,C22967
470k,"R27,R50,R18",0603,C23178
330k,"R72,R2",0805,C17629
47,R6,1206,C25384
1uF,"C17,C19,C25,C31,C45",0603,C15849
100nF,"C14,C28",0603,C14663
22nF,"C26,C44,C47",0603,C21122
BSC027N06LS5ATMA1,"Q8,Q9",BSC027N06LS5ATMA1,C2802513
10nF,"C30,C32,C48",0603,C57112
ACPL-217-50AE,U9,SOIC-4_4.55x2.6mm_P1.27mm,C5157608
100M,"R62,R69",0603,C422892
330k,R35,0603,C23137
CDSOD323-T12,"D15,D16,D8",D_SOD-323,C911368
47pF,C29,0603,C1671
510k,R65,0603,C23192
UCC21520DW,U11,SOIC-16W_7.5x10.3mm_P1.27mm,C200361
2.2uF,"C15,C40,C41",0805,C377773
33k,"R28,R34,R66",0603,C4216
20,R46,1206,C17955
10M,R54,1206,C26119
820k,R64,0603,C23252
470pF,C39,1206,C9189
100k,"R26,R45,R47,R53,R67,R70",0603,C25803
240k,R25,0603,C4197
82k,R60,0603,C23254
470nF,C43,0603,C1623
SS1H10,"D13,D9",D_SMA,C53531
LM2904BIDDFR,"U10,U14,U6",SOT-23-8_DC-DC_v9,C4366469
1nF,"C16,C49,C50,C51,C52,C53,C56,C57",0603,C1588
4.7,"R32,R42,R56,R58",1206,C17937
10,"R73,R74",0603,C22859
TL431,U7,SOT-23,C963380
4.7k,"R31,R36",0603,C23162
1k,"R39,R41,R59,R61",0603,C21190
47k,R37,0603,C25819
510,R44,0603,C23193
1.6M,R68,0603,C22770
TLV61048DBVR,U4,SOT-23-6,C2861467
